layers,mae
6,0.000336
6,0.000338095
6,0.000338857
6,0.000338286
6,0.000337238
7,0.000338524
7,0.000337476
7,0.000339048
8,0.000339
6,0.000338714
7,0.000341048
7,0.000342095
7,0.00034181
5,0.000341
7,0.000341762
6,0.000343048
7,0.000342238
7,0.00034381
6,0.000342762
6,0.000343
7,0.000342476
7,0.000344048
6,0.000343762
6,0.000344524
5,0.000343952
6,0.000346762
6,0.00034781
6,0.000349333
8,0.000345667
6,0.000348762
7,0.000353857
6,0.000351238
5,0.000350714
6,0.000352762
6,0.000351714
6,0.000355095
6,0.000354762
5,0.00035681
7,0.000356
8,0.000357524
7,0.000356476
6,0.00035881
6,0.000359524
6,0.000360524
6,0.000361524
6,0.000364048
6,0.000365857
7,0.00036419
6,0.000366
5,0.000367762
5,0.000379238
5,0.000379476
6,0.000381524
5,0.000383286
4,0.000385476
3,0.000754095
3,0.000788619
3,0.000782048
4,0.000792381
4,0.000784905
2,0.000799667
4,0.000808
2,0.000811667
4,0.000812667
3,0.000810952
2,0.000860667
3,0.000820286
2,0.000829143
4,0.000834571
3,0.000834286
2,0.001043381
3,0.000847571
3,0.000855333
2,0.000837857
3,0.00085219
3,0.000844714
1,0.000859952
1,0.000862524
2,0.000858333
3,0.000869714
4,0.000880905
2,0.000880571
3,0.000871905
5,0.000904714
3,0.000877095
3,0.000891048
2,0.000890238
3,0.000891095
3,0.000892048
3,0.000904333
4,0.000879143
4,0.000906714
5,0.000902095
4,0.000899714
4,0.000897524
4,0.000911333
3,0.000911857
4,0.000904381
3,0.00091219
4,0.000925238
3,0.000910762
3,0.000912286
3,0.001004667
4,0.000918429
2,0.000918429
4,0.000923238
4,0.000921143
2,0.000939619
3,0.000942095
3,0.000963286
3,0.000943429
1,0.00094719
2,0.000956952
2,0.000961762
3,0.00095381
3,0.000974619
1,0.000977381
2,0.000970571
4,0.000970095
3,0.000978714
3,0.000845571
3,0.00100781
4,0.000971857
3,0.001007905
4,0.001011524
3,0.001026857
3,0.000971857
2,0.001075476
1,0.001123905
1,0.001274286
1,0.002164238
6,0.002972095
,0.338809048
